Id,Predicted
candidate11,0.9995388
candidate13,0.020016631
candidate15,0.94841874
candidate17,0.99999297
candidate22,0.99999034
candidate26,0.007357985
candidate33,0.9999999
candidate40,0.999998
candidate42,0.0044442927
candidate49,0.061472077
candidate56,0.55626917
candidate59,0.8761828
candidate60,0.017076429
candidate68,0.9999912
candidate75,0.12980816
candidate76,0.0717311
candidate77,0.86550987
candidate79,0.6343472
candidate85,0.7274091
candidate99,0.6626207
candidate100,0.101157896
candidate103,0.99999964
candidate107,0.9999999
candidate108,0.021076497
candidate112,1.0
candidate116,0.6576412
candidate117,1.0
candidate118,1.0
candidate128,0.49044532
candidate129,0.00022519915
candidate132,0.9999969
candidate137,0.9999565
candidate144,0.48400298
candidate146,0.9999231
candidate149,0.99998415
candidate165,0.9999999
candidate167,0.99969506
candidate170,0.8880667
candidate174,1.0
candidate178,0.00059216924
candidate189,0.007974083
candidate191,4.7574547e-05
candidate194,0.9999999
candidate195,0.9999999
candidate197,0.06408682
candidate201,0.9886475
candidate204,1.0
candidate223,1.0
candidate239,0.9984559
candidate251,0.09391821
candidate252,1.7084236e-06
candidate259,0.9993389
candidate264,1.0
candidate268,0.88062924
candidate274,0.97551244
candidate275,0.07209479
candidate278,0.0009472873
candidate284,0.9999596
candidate286,1.0
candidate290,1.0
candidate300,0.99957603
candidate301,0.03067561
candidate302,0.9999999
candidate309,0.5248219
candidate312,0.94911486
candidate329,0.51665586
candidate333,0.99628866
candidate344,0.6286435
candidate346,0.1291251
candidate348,1.0
candidate354,0.99532485
candidate357,0.8432249
candidate360,0.002209164
candidate363,1.0
candidate368,1.0
candidate373,0.999998
candidate384,0.9999999
candidate390,0.0051858886
candidate394,0.9993911
candidate396,0.8516579
candidate397,0.87302446
candidate398,0.0060336166
candidate402,0.99995124
candidate403,0.11122089
candidate412,0.049725067
candidate424,0.13199256
candidate427,0.9720081
candidate431,0.6862264
candidate439,0.9991341
candidate440,0.796058
candidate450,0.97188485
candidate451,0.01742458
candidate455,0.9985379
candidate456,0.111002035
candidate458,0.9999999
candidate459,0.0033286845
candidate463,0.9999999
candidate466,0.99991214
candidate483,1.0
candidate486,0.030921629
candidate489,0.99996877
candidate491,1.0
candidate493,1.0
candidate498,1.0
candidate499,0.9999999
candidate502,0.006121913
candidate509,0.99999535
candidate513,0.8619558
candidate524,1.0
candidate530,0.9999995
candidate544,0.99999833
candidate556,0.13105543
candidate563,1.0
candidate564,1.0
candidate565,0.8301639
candidate580,1.0
candidate582,0.02242406
